1024 5341
534 112 5
363 912 18
886 521 -10
720 163 -1
53 53 -3
263 340 2
574 247 -9
370 122 17
91 1020 10
554 587 -1
498 750 20
974 133 9
814 127 20
970 261 17
905 60 -3
512 607 17
503 406 3
730 793 8
295 673 14
809 917 9
907 881 13
359 974 8
557 298 14
42 370 17
632 20 -1
1013 7 20
642 594 0
674 15 8
116 275 14
283 883 20
290 86 14
36 155 -5
770 399 2
860 757 -10
488 984 -3
445 743 12
357 113 9
328 81 15
664 183 19
933 564 -5
969 740 3
979 792 2
815 301 14
323 320 3
942 792 4
757 725 -3
366 809 -3
359 397 18
408 820 -7
130 632 10
932 1006 -2
706 500 16
1013 155 -9
330 258 -10
699 492 -9
169 106 13
847 867 11
116 881 11
901 221 15
10 785 14
946 530 0
279 1006 15
840 35 15
174 130 -8
862 410 6
538 564 13
903 865 -2
688 856 -6
688 407 3
76 323 9
274 344 15
61 255 -10
334 199 16
710 582 12
591 259 0
909 958 -3
145 457 8
385 192 8
202 244 20
289 3 12
823 26 8
563 1021 16
506 240 2
574 237 6
584 332 5
878 440 2
854 458 12
937 31 -3
840 648 1
506 520 -1
408 892 -2
163 195 -8
927 581 4
113 144 2
847 395 -3
551 475 16
325 585 5
284 742 9
682 411 -8
610 975 9
176 480 17
525 67 1
643 81 0
114 308 8
2 92 2
892 619 -10
682 104 -7
99 729 -4
878 972 12
102 991 9
883 22 -4
870 791 2
747 0 18
356 833 -7
130 161 -3
83 89 8
283 444 0
456 7 5
724 60 5
97 744 -9
893 570 7
766 99 14
529 551 19
36 508 -10
978 742 -10
544 113 -3
272 261 -5
198 0 15
716 340 5
986 673 -6
427 895 14
393 548 20
1021 901 -5
640 359 17
964 794 18
380 808 -2
765 91 19
621 545 -5
919 342 -10
381 359 -2
477 88 -5
158 329 7
834 775 0
622 34 0
204 670 -1
910 987 5
913 503 -10
955 13 13
775 547 10
595 519 2
14 187 4
523 799 1
261 819 15
505 794 20
585 212 -7
580 917 18
995 299 11
285 681 -2
99 778 -1
197 583 4
525 116 -9
461 768 12
736 517 12
223 47 18
301 189 1
415 201 11
429 813 7
148 822 14
344 891 13
16 0 -5
112 450 19
146 577 -6
374 677 -8
798 534 -6
527 62 3
114 123 -6
242 940 6
552 355 -10
898 1002 -10
812 996 9
675 697 5
773 465 20
476 702 6
990 794 3
249 554 -6
354 709 14
919 894 2
701 614 18
875 590 -7
96 593 -10
288 18 -8
603 9 5
287 351 -7
621 408 19
162 548 -1
282 968 16
218 959 1
866 641 17
278 511 20
752 437 -6
554 118 5
222 670 15
139 935 -10
860 63 -2
978 492 5
225 862 9
433 564 -5
936 380 13
886 738 15
683 881 11
172 371 15
352 949 3
647 950 13
470 380 3
790 447 -6
273 306 17
112 983 17
946 1021 -6
853 539 2
326 839 16
513 902 16
736 640 6
798 148 4
448 158 -8
538 462 -9
305 3 4
329 213 -8
756 710 17
924 709 -5
960 677 19
727 267 3
457 764 6
140 515 -3
334 149 -4
832 251 5
914 569 20
648 355 2
733 570 16
2 864 20
585 123 4
111 1017 11
655 414 12
870 393 -7
270 855 -1
331 338 -1
191 800 10
660 307 6
222 959 10
130 242 15
864 857 -9
729 164 -9
407 783 2
829 522 -3
918 590 0
567 264 -4
812 862 6
791 889 8
402 983 15
813 783 16
804 771 -7
521 6 4
690 335 19
968 455 20
600 868 7
917 731 5
472 125 -4
1001 950 15
748 774 -2
817 67 11
522 961 -6
728 571 15
654 721 9
1013 679 -9
843 897 -6
9 806 10
237 675 -7
392 966 16
440 214 20
813 148 4
636 280 19
583 563 -3
741 370 5
892 784 -4
872 664 -10
695 788 12
377 212 9
577 487 10
727 929 4
557 25 20
776 687 10
165 459 5
610 597 -4
187 441 19
48 662 7
192 427 -4
467 837 -9
605 436 -4
758 236 18
477 465 4
802 383 -9
867 452 -4
865 267 1
12 316 3
685 470 -7
545 677 1
600 179 -6
749 319 5
951 369 4
469 840 -10
696 181 -4
954 858 2
291 919 -4
728 83 9
185 735 7
662 344 -6
625 696 17
8 987 4
898 297 20
789 937 16
249 190 15
372 356 12
266 544 11
11 513 -7
357 661 13
73 536 -2
49 659 17
664 560 4
372 759 -7
1020 327 8
286 124 2
115 324 -2
492 125 16
185 287 7
986 817 20
374 732 -6
224 738 19
778 940 1
301 203 18
106 718 11
35 921 16
202 17 2
440 213 16
788 253 5
11 402 -4
844 8 -10
851 56 -2
383 883 -8
618 72 -10
711 407 11
168 613 8
138 709 3
458 526 14
773 276 16
784 964 8
949 168 17
231 410 -7
332 858 18
685 349 9
552 206 11
625 722 -8
907 76 3
200 452 11
772 6 -8
259 725 -8
200 394 3
108 842 15
237 403 19
861 845 4
712 370 -2
323 865 10
215 715 11
233 243 5
256 602 3
175 846 15
16 243 7
621 354 19
188 523 16
300 533 13
398 346 7
780 32 -4
653 384 1
996 929 -6
634 948 11
386 745 16
247 223 12
147 306 -8
508 696 -5
415 318 0
91 951 -3
925 780 -10
72 764 5
516 813 11
33 379 14
621 861 19
232 15 18
541 866 19
298 575 -2
528 622 4
75 984 5
94 110 -2
372 945 9
17 13 11
142 46 14
193 342 0
270 601 4
406 569 7
393 695 -10
895 351 13
62 788 18
187 271 -7
29 773 -7
13 791 -9
753 206 7
46 1012 17
187 749 9
89 679 12
354 639 -6
267 3 20
312 298 8
69 855 -1
526 359 8
761 953 12
463 563 -6
356 98 17
214 909 -3
645 990 -1
375 857 20
755 251 2
886 628 6
445 438 16
358 35 -8
538 926 -1
805 544 4
784 616 -4
997 493 11
611 156 -5
908 72 15
612 941 -7
598 447 19
634 993 -4
748 988 6
121 445 8
642 107 7
294 519 16
907 185 -9
125 630 8
807 233 19
647 160 4
607 938 0
1007 462 -9
960 246 12
401 446 12
765 675 -3
184 890 -9
919 1002 8
457 711 17
195 312 11
391 479 19
8 985 9
317 631 -6
324 355 7
108 568 5
535 238 12
713 565 12
1011 118 -4
951 521 8
821 771 -7
135 667 7
787 94 7
275 451 -10
334 388 -7
662 831 -5
478 281 -4
733 183 -2
534 388 16
528 454 13
1011 633 10
970 576 6
404 544 16
69 43 4
517 538 16
184 43 -7
1006 787 5
572 587 -10
961 417 -3
211 618 15
630 410 2
107 693 -4
767 310 3
1003 1016 -7
1013 906 2
692 687 12
44 579 5
788 271 4
54 174 20
163 395 20
1015 621 9
895 648 -7
726 614 -10
485 811 17
570 722 18
920 658 -1
330 381 18
780 466 16
554 901 -10
608 662 6
48 585 -9
641 813 11
962 839 -9
268 617 6
986 777 0
457 161 -4
620 902 14
733 179 -9
24 122 17
764 726 3
241 154 11
833 158 0
837 186 15
641 131 10
674 573 -3
555 194 -10
148 98 17
270 123 4
455 76 7
686 848 1
411 478 -5
480 760 14
840 956 19
992 894 -3
799 782 4
310 550 -4
921 990 13
1005 50 8
290 290 3
786 498 10
234 983 3
378 1009 5
554 690 2
563 788 -1
655 89 16
827 521 20
467 28 -10
845 346 11
429 422 5
471 252 14
663 546 -10
138 311 20
805 454 5
1019 560 5
732 707 11
325 139 -1
709 775 -2
188 724 19
318 89 19
517 691 3
941 693 13
50 533 0
30 756 -4
184 979 -3
510 27 15
593 130 0
106 1013 11
304 867 3
457 953 -10
10 187 -9
942 1005 3
482 503 -1
822 710 -1
674 352 4
346 694 -1
220 595 -8
1010 744 5
337 56 12
853 467 -6
263 430 -10
479 562 15
286 672 -6
451 260 -3
927 837 2
758 862 4
761 823 10
530 301 9
495 803 5
639 587 -8
25 199 -5
331 360 9
848 47 4
884 184 -9
151 629 -10
406 616 11
867 374 8
49 834 -3
75 300 14
781 16 -7
140 697 -1
865 667 5
486 582 -2
965 340 -4
690 57 14
548 268 15
80 892 16
794 590 -1
566 449 0
900 45 3
580 15 -5
58 163 8
817 245 8
282 738 -10
41 823 -5
1012 536 -10
241 729 1
251 920 3
50 971 15
449 367 16
437 164 17
232 705 8
184 306 -8
18 391 19
678 966 -4
694 396 -3
214 393 9
988 691 16
25 311 3
506 233 11
837 276 -5
865 602 -4
515 1 -3
761 188 17
890 746 4
65 207 16
188 784 2
718 864 12
254 732 19
192 370 -8
504 568 -9
220 350 20
268 165 0
88 263 -9
513 646 -4
374 366 11
624 88 14
897 597 18
313 459 -7
460 174 20
926 5 1
703 258 -5
464 358 3
281 800 -3
785 685 -10
237 685 -2
449 81 -7
778 105 -4
486 103 14
200 589 9
274 111 10
880 200 19
184 979 18
446 456 12
75 787 5
809 596 15
701 191 3
1016 471 -10
823 211 11
587 634 -8
801 24 -5
933 25 8
985 142 -10
914 949 -2
162 275 10
904 884 9
433 443 17
268 910 18
876 923 -7
707 691 16
304 499 17
514 214 13
310 1020 0
485 349 -6
888 449 -2
553 546 12
925 976 2
818 723 -9
600 168 1
521 135 5
192 42 15
562 941 7
134 117 1
172 663 -1
540 256 8
636 341 7
542 967 -9
650 923 15
424 478 -1
451 995 -7
347 987 6
436 786 0
308 968 17
288 571 15
915 412 16
831 104 5
1022 111 -6
417 101 -3
632 490 16
499 762 -6
661 664 -8
18 44 10
397 297 7
564 586 -7
242 968 -5
11 1017 18
997 525 19
816 638 -3
724 820 9
570 1008 14
547 931 20
329 287 12
603 487 4
497 332 16
174 675 -10
453 526 2
232 52 12
498 1015 10
563 500 14
947 201 -2
563 94 20
122 621 -6
607 640 -10
544 479 0
429 645 7
651 977 18
221 570 19
890 177 11
535 467 1
637 80 4
142 620 10
579 363 -4
866 744 16
454 949 3
775 324 15
762 833 7
713 898 -9
521 589 0
80 673 -6
838 748 2
301 880 -4
349 1021 1
730 26 10
612 359 2
944 696 -7
479 417 1
960 79 1
723 742 -1
660 262 18
122 166 -2
833 372 -2
317 535 7
597 599 11
756 234 10
381 794 7
167 924 4
772 230 11
316 211 -4
879 831 4
987 455 13
486 87 2
498 941 5
43 664 -2
21 151 2
332 546 4
567 585 4
600 30 -6
237 498 -1
692 833 2
182 466 18
495 982 -10
388 548 -5
801 796 8
1011 242 9
565 228 -9
754 152 17
439 948 5
978 805 11
1013 722 -1
1006 213 5
153 782 16
618 603 9
2 541 16
446 955 16
7 482 1
11 724 -7
492 1 16
609 254 0
946 900 14
652 312 -3
769 389 0
1019 226 6
610 785 16
985 757 -4
391 456 13
384 567 1
971 478 -6
957 222 -6
55 909 15
164 151 7
171 797 5
236 0 14
508 516 14
257 734 20
295 209 -1
339 198 11
492 219 3
138 490 3
359 499 -8
419 79 19
902 900 -5
303 916 15
111 484 -7
27 14 -1
813 968 12
976 494 2
320 278 0
661 931 1
740 908 16
103 702 -8
559 757 1
979 249 10
843 482 -1
881 825 13
644 283 14
10 672 -9
218 850 4
157 4 -5
598 948 -10
175 108 -10
348 362 18
695 359 2
165 815 18
897 590 11
429 387 -6
214 979 8
952 805 19
214 369 11
951 725 18
196 150 -1
952 654 10
298 920 20
169 957 5
685 732 8
909 289 3
485 182 18
890 589 13
523 233 -6
1016 523 6
363 719 -5
925 20 16
976 404 -6
242 980 20
617 13 -3
5 303 17
469 518 -8
323 397 -10
605 805 -3
604 656 -4
898 948 1
101 317 -2
870 492 15
639 908 -4
959 666 16
666 909 14
334 564 -4
572 683 19
25 953 -2
843 179 -8
469 236 -7
334 427 3
312 978 8
419 668 15
63 887 0
408 213 -5
128 611 4
876 92 5
31 844 -3
929 387 12
773 226 -8
553 729 1
869 974 10
848 1009 -1
437 568 7
627 694 0
933 621 19
232 68 -1
703 640 -7
408 893 8
682 253 8
581 728 16
73 769 14
369 17 -6
570 598 4
88 973 -2
82 616 15
643 82 17
811 300 0
224 467 1
484 329 6
89 16 0
934 303 5
105 53 8
895 728 -3
32 821 1
185 614 -6
138 35 -3
705 483 7
387 813 -8
802 711 -4
602 324 -8
344 531 -8
457 409 16
858 539 18
307 379 -7
812 355 7
300 53 19
225 17 19
426 1016 9
456 479 -3
635 517 1
200 160 7
205 898 13
266 929 13
242 454 19
899 673 18
927 3 7
267 777 -8
88 403 3
495 171 17
720 852 16
335 828 5
858 982 0
417 49 4
705 330 18
304 222 -2
38 369 19
113 730 -5
951 768 -6
391 275 0
843 301 -10
839 544 -10
605 358 -6
924 178 16
208 98 4
36 300 5
127 778 -2
335 971 18
915 232 7
883 240 3
516 293 13
647 348 17
739 61 6
144 644 0
557 1000 2
987 846 18
607 1014 19
409 965 2
268 519 -4
639 693 3
16 874 -4
628 556 -2
326 902 -6
369 72 8
197 668 12
800 1003 18
524 963 7
995 286 4
686 617 5
319 845 19
342 708 7
234 938 13
572 499 -10
228 79 16
610 450 18
103 249 -4
311 333 -2
153 122 8
108 757 -3
310 554 12
32 359 14
180 258 17
431 161 0
149 557 -1
456 315 18
474 804 11
667 864 9
726 959 3
305 56 5
723 700 -2
343 945 -5
328 932 3
420 494 4
400 805 10
377 705 -2
354 807 7
275 763 0
889 596 15
3 633 10
304 719 5
176 821 8
251 567 6
929 199 3
258 354 -7
973 280 20
82 75 -5
289 560 -1
595 799 8
246 625 14
914 892 -4
51 918 10
1015 310 6
332 587 4
507 64 17
97 837 11
905 395 12
548 25 14
126 758 -9
592 324 5
18 684 15
223 37 19
394 123 -10
312 729 -4
509 15 10
267 312 -7
28 270 10
161 349 5
58 655 12
187 906 15
517 357 2
607 66 19
688 297 -9
803 235 0
381 527 13
207 609 20
488 498 -8
375 562 14
488 268 7
339 648 18
1015 859 7
516 486 -5
999 426 15
778 835 2
684 425 -2
398 43 -2
