2048 2556
1763 941 -4
1050 1788 12
1329 374 1
995 1887 -1
972 1416 0
175 1417 18
1000 1622 -2
768 769 -1
1152 207 16
789 790 -1
926 1025 -4
1592 889 16
1289 150 13
1164 1954 -2
1423 1650 -4
759 760 -1
353 1310 20
1689 1979 3
323 957 20
550 1646 11
1402 956 18
2028 307 13
1725 1417 -10
455 1408 20
1171 235 10
71 1461 -9
1510 719 -6
1547 1186 17
953 174 19
1316 1732 -8
1846 1492 15
1466 1003 5
922 299 5
303 1863 -2
421 611 -1
1895 1298 -8
1426 901 9
1032 1106 14
465 79 8
823 824 -1
2031 1785 -6
1593 309 -2
1647 1576 7
610 716 2
1415 572 -10
1397 714 2
1526 60 15
68 384 12
762 763 -1
1299 1530 12
394 2001 3
325 1649 15
77 1074 10
1737 1424 -4
731 732 -1
847 591 5
800 345 8
1964 835 20
1293 660 0
1022 1976 6
590 429 2
1383 2045 -10
114 1475 -5
124 923 13
559 83 0
1979 1904 9
357 1708 17
1951 1771 -5
1319 851 18
566 731 18
512 1202 19
576 1416 18
496 170 10
567 1816 -2
1746 1240 7
1501 1641 16
1322 432 9
1313 489 -1
740 741 -1
1394 270 13
544 172 1
734 643 -9
1769 476 -5
1171 1061 0
1755 1205 6
151 347 -3
738 765 8
206 378 4
1900 1995 -2
1969 816 -1
1554 509 19
1343 804 -1
1141 821 5
1290 856 -4
359 1990 10
1140 1517 2
248 1565 -7
1140 335 0
1290 1160 -6
1154 1281 -7
819 820 -1
1138 1404 19
911 1591 9
359 730 -1
1501 987 1
1585 326 4
608 1865 -2
418 874 18
458 1387 8
1481 1622 14
870 433 15
272 906 -7
676 228 14
1716 302 16
1017 534 -4
1545 419 19
1021 1213 2
142 746 -6
1290 1880 7
1211 922 13
1742 1081 -5
14 1621 -9
142 580 8
1222 1536 14
517 1473 8
68 1070 3
45 405 -5
1303 121 17
590 896 -6
20 699 17
299 1582 -9
521 876 14
1313 576 -8
2034 1167 19
405 918 -2
441 749 -8
780 643 3
777 778 -1
688 180 15
681 743 17
1345 2021 10
1443 1387 10
1182 1227 -9
151 141 19
610 689 11
843 466 5
1873 1207 5
927 1282 20
779 780 -1
1509 1174 7
1205 1129 -10
1423 1350 1
672 666 -10
1147 393 -8
24 160 16
394 867 20
1752 1479 14
1869 471 15
1756 1256 -7
480 1240 17
1161 1397 -7
1873 1422 3
1632 472 4
43 581 17
796 797 -1
1519 1130 -8
811 1927 -10
941 1112 -1
1238 667 -8
249 485 -10
818 819 -1
488 503 8
1381 1941 -4
1768 126 -6
1611 1989 4
1407 942 0
432 1291 12
1885 73 -9
906 503 16
1868 90 -4
348 1337 14
982 1207 2
763 1768 12
710 711 -1
56 743 8
1200 1446 -7
1096 1608 -8
1667 613 7
708 959 12
1629 1963 10
909 1912 -3
1604 161 19
513 1267 12
761 762 -1
321 445 -4
737 1443 4
634 1551 18
930 1383 20
872 194 -1
956 435 18
658 1563 11
846 847 -1
1014 339 -4
1114 434 -1
745 746 -1
2001 1256 14
133 599 19
1343 1157 0
1255 747 11
1441 1129 2
847 848 -1
1801 451 -10
842 159 -1
408 1444 16
1268 1933 16
970 1442 2
239 279 18
770 771 -1
183 118 10
683 1567 6
418 1058 16
1452 1282 8
706 707 -1
446 1388 13
270 1779 17
1927 708 1
615 1044 20
546 1438 -9
966 247 4
577 988 3
843 844 -1
605 407 20
1946 762 15
1105 468 -3
1053 760 11
757 1840 -10
1816 1145 3
660 1025 1
1893 58 17
336 1706 -5
1119 841 7
1231 523 -5
1275 309 7
1229 854 -2
1835 360 13
611 1463 2
953 784 -8
546 387 17
541 1315 -6
850 2039 7
1276 97 16
248 1448 7
842 1896 -9
370 1331 7
797 798 -1
1988 210 20
1031 1132 9
821 822 -1
1642 791 0
487 1615 16
1011 641 18
1798 33 7
55 502 7
1033 1691 5
836 816 -1
511 1061 -6
1894 119 1
690 906 20
85 669 -6
1387 801 16
770 292 -8
1833 438 -10
1136 284 8
1951 263 16
869 1954 -6
1681 811 2
984 783 -1
1391 1862 14
1121 553 1
1856 1872 15
1306 770 9
1327 987 -2
1199 833 13
98 1048 15
916 520 -8
487 1943 13
1687 1982 3
1998 1130 -1
325 599 -3
725 1970 -2
1504 1277 15
552 1997 7
983 34 -2
807 1680 13
1786 864 6
311 1879 8
233 1206 18
1529 2002 16
873 262 16
1160 983 -2
1441 2008 1
652 928 10
776 777 -1
67 320 -9
735 736 -1
1225 1332 7
1294 399 -4
1612 856 0
1065 1290 12
1525 170 20
4 401 -5
1437 1954 -4
1853 685 13
436 1030 1
1896 590 4
994 136 -9
600 1147 -3
835 1926 9
61 110 -8
1365 1484 4
800 428 -8
1777 297 -1
1379 1022 14
726 727 -1
74 852 -6
990 1919 10
196 1267 -8
1632 1635 1
2017 388 14
503 1971 7
447 2015 8
1392 303 -1
211 1697 14
49 725 1
1236 1777 0
533 1248 8
720 721 -1
1797 1644 2
144 818 -10
503 503 5
1782 721 2
811 1083 2
955 510 -4
944 1807 -4
480 27 -5
748 749 -1
192 704 19
623 1551 3
877 825 5
1470 1112 -10
604 241 15
2001 1680 -3
2032 1890 10
1787 791 19
1418 1618 8
2044 400 -9
550 399 14
610 1864 -2
1197 360 13
1020 600 -10
900 1937 20
946 671 -5
2047 1080 -8
1633 170 -10
1986 1393 10
765 766 -1
1849 1860 20
1560 47 17
1959 1287 17
1291 133 -8
131 1221 19
905 287 20
1814 989 6
74 81 8
157 41 14
1010 1585 -8
601 837 9
1431 150 17
742 743 -1
1795 965 12
1708 1720 6
1424 357 15
839 840 -1
697 1103 3
524 1138 11
939 850 17
750 1586 4
383 1542 15
1601 1098 -7
1003 1601 14
1486 1912 5
1666 1485 10
809 214 20
1248 880 5
829 830 -1
1108 865 -9
1095 1727 20
484 1732 2
1723 383 -8
452 708 -2
1419 1633 14
403 856 -4
893 639 -6
251 1769 -1
866 934 14
1162 1859 2
963 1227 6
1242 416 17
513 35 -7
100 681 14
427 179 7
147 1219 -2
2029 883 8
754 1540 3
1127 1109 12
1414 160 17
1998 1491 -10
441 947 7
1573 468 6
862 937 5
1397 254 13
432 195 13
830 473 7
1643 1883 7
554 843 -2
699 700 -1
1694 1615 0
64 1644 1
1082 260 1
1634 558 2
1907 346 3
1680 55 -9
1472 8 14
853 701 -8
1048 1175 9
1093 1387 5
1715 419 10
804 1898 20
1603 1178 4
225 498 20
1584 1708 9
1210 1124 -10
1133 1189 -7
537 31 16
1800 480 11
538 1422 5
1154 1701 9
943 284 2
908 1150 8
477 530 -4
969 881 14
400 1682 2
1176 291 17
235 1829 18
21 1861 13
46 409 18
2013 230 4
121 1564 -10
1581 1660 4
1822 737 9
371 1719 -8
836 837 -1
376 1676 -4
500 33 9
1182 1268 -9
1289 1676 15
236 1863 3
862 704 -5
2014 333 -7
846 799 16
1335 80 -9
1663 961 6
61 729 5
1615 671 0
1070 1755 2
653 244 16
807 808 -1
834 1883 15
1399 1960 14
1197 1882 20
927 1386 8
208 70 16
1138 321 -3
1038 1752 3
1154 560 4
723 1473 3
876 627 -3
1092 799 -8
1947 1954 2
595 424 8
1030 265 -9
486 1498 18
457 1617 -8
1471 1694 19
226 1231 -9
1385 1561 2
636 1054 12
1384 668 1
1167 710 4
63 253 4
446 539 20
66 183 9
438 1188 -7
43 1956 16
1410 1185 -7
1245 1585 -4
134 142 16
1255 1623 -6
555 434 17
672 1731 9
1372 1304 -6
1016 242 2
840 841 -1
1864 1065 -2
1206 1405 9
1743 147 -10
525 1437 -10
1184 1261 8
