g 1024
n 42 1024
n 41 1020
n 3 1010
n 22 995
n 24 991
n 100 984
n 11 968
n 63 954
n 57 943
n 48 935
n 49 922
n 62 909
n 40 900
n 65 887
n 48 878
n 29 873
n 13 859
n 35 848
n 42 835
n 66 825
n 87 818
n 30 805
n 2 801
n 64 785
n 23 778
n 43 765
n 74 753
n 23 744
n 50 735
n 11 725
n 32 709
n 30 695
n 67 685
n 53 681
n 11 671
n 78 665
n 56 659
n 69 653
n 52 642
n 23 625
n 90 614
n 43 600
n 100 587
n 16 577
n 46 572
n 100 562
n 58 550
n 20 542
n 25 533
n 32 517
n 83 503
n 26 492
n 31 477
n 66 463
n 46 460
n 68 451
n 7 443
n 53 436
n 17 417
n 46 411
n 25 404
n 21 397
n 11 390
n 22 375
n 38 366
n 20 360
n 53 347
n 50 335
n 22 324
n 42 311
n 84 305
n 4 294
n 94 284
n 63 276
n 87 270
n 32 261
n 52 255
n 66 253
n 83 240
n 19 230
n 21 217
n 1 203
n 7 194
n 50 183
n 27 172
n 98 162
n 81 150
n 3 140
n 82 128
n 16 118
n 6 108
n 52 99
n 39 87
n 87 74
n 12 63
n 36 50
n 33 44
n 72 33
n 69 16
n 91 11
n 14 0
n 96 0
n 60 0
n 56 0
n 4 0
n 71 0
n 50 0
n 11 0
n 67 0
n 88 0
n 32 0
n 66 0
n 10 0
n 28 0
n 49 0
n 38 0
n 28 0
n 10 0
n 94 0
n 29 0
n 29 0
n 46 0
n 25 0
n 97 0
n 23 0
n 11 0
n 91 0
n 46 0
n 85 0
n 82 0
n 50 0
n 50 0
n 98 0
n 54 0
n 6 0
n 60 0
n 72 0
n 100 0
n 50 0
n 71 0
n 11 0
n 100 0
n 95 0
n 8 0
n 63 0
n 78 0
n 6 0
n 23 0
n 94 0
n 83 0
n 40 0
n 41 0
n 75 0
n 84 0
n 53 0
n 70 0
n 80 0
n 93 0
n 74 0
n 48 0
n 34 0
n 95 0
n 95 0
n 97 0
n 69 0
n 7 0
n 89 0
n 15 0
n 98 0
n 73 0
n 79 0
n 92 0
n 30 0
n 65 0
n 14 0
n 45 0
n 71 0
n 2 0
n 12 0
n 86 0
n 23 0
n 62 0
n 99 0
n 86 0
n 72 0
n 10 0
n 68 0
n 47 0
n 55 0
n 15 0
n 90 0
n 27 0
n 71 0
n 6 0
n 11 0
n 80 0
n 59 0
n 67 0
n 47 0
n 13 0
n 79 0
n 27 0
n 30 0
n 7 0
n 25 0
n 16 0
n 51 0
n 72 0
n 41 0
n 81 0
n 59 0
n 23 0
n 53 0
n 20 0
n 10 0
n 38 0
n 41 0
n 26 0
n 95 0
n 92 0
n 99 0
n 38 0
n 19 0
n 64 0
n 92 0
n 81 0
n 3 0
n 51 0
n 52 0
n 81 0
n 18 0
n 16 0
n 90 0
n 56 0
n 63 0
n 94 0
n 29 0
n 62 0
n 50 0
n 56 0
n 84 0
n 67 0
n 78 0
n 7 0
n 91 0
n 50 0
n 89 0
n 87 0
n 13 0
n 44 0
n 18 0
n 14 0
n 85 0
n 82 0
n 98 0
n 80 0
n 34 0
n 62 0
n 89 0
n 85 0
n 49 0
n 92 0
n 42 0
n 5 0
n 17 0
n 21 0
n 45 0
n 3 0
n 43 0
n 79 0
n 17 0
n 12 0
n 69 0
n 10 0
n 25 0
n 34 0
n 92 0
n 80 0
n 68 0
n 48 0
n 91 0
n 6 0
n 68 0
n 92 0
n 90 0
n 85 0
n 86 0
n 43 0
n 43 0
n 66 0
n 79 0
n 34 0
n 88 0
n 93 0
n 31 0
n 41 0
n 37 0
n 36 0
n 85 0
n 10 0
n 39 0
n 93 0
n 53 0
n 74 0
n 26 0
n 65 0
n 80 0
n 88 0
n 66 0
n 8 0
n 64 0
n 97 0
n 84 0
n 23 0
